iter	Passed	Remaining
0	171	171734
1	173	86516
2	175	58282
3	179	44646
4	181	36148
5	183	30323
6	184	26189
7	187	23188
8	188	20700
9	190	18864
10	191	17245
11	192	15878
12	195	14813
13	195	13796
14	198	13013
15	198	12232
16	199	11554
17	200	10942
18	201	10412
19	203	9978
20	204	9554
21	205	9143
22	207	8793
23	208	8464
24	209	8158
25	210	7878
26	211	7610
27	211	7356
28	212	7123
29	213	6904
30	214	6700
31	215	6507
32	216	6339
33	217	6185
34	218	6022
35	219	5868
36	219	5722
37	220	5583
38	221	5458
39	222	5341
40	223	5221
41	223	5107
42	224	4997
43	225	4891
44	225	4790
45	226	4693
46	226	4599
47	227	4509
48	227	4423
49	228	4339
50	228	4259
51	229	4182
52	230	4111
53	231	4053
54	232	3988
55	232	3922
56	233	3858
57	233	3796
58	234	3736
59	234	3678
60	235	3628
61	236	3576
62	237	3526
63	237	3476
64	238	3429
65	238	3381
66	239	3334
67	239	3288
68	240	3244
69	240	3201
70	241	3159
71	241	3118
72	242	3079
73	243	3041
74	243	3004
75	244	2967
76	244	2932
77	245	2907
78	246	2879
79	247	2848
80	248	2816
81	248	2785
82	249	2751
83	249	2721
84	250	2692
85	250	2666
86	251	2641
87	252	2616
88	253	2591
89	253	2565
90	254	2541
91	255	2517
92	255	2493
93	256	2469
94	256	2445
95	257	2422
96	257	2400
97	258	2378
98	258	2355
99	259	2334
100	260	2316
101	261	2299
102	262	2281
103	262	2262
104	263	2242
105	263	2223
106	264	2204
107	265	2188
108	265	2172
109	266	2155
110	266	2138
111	267	2122
112	268	2105
113	268	2089
114	269	2072
115	269	2056
116	270	2040
117	270	2024
118	271	2008
119	271	1993
120	272	1978
121	272	1963
122	273	1948
123	273	1934
124	274	1921
125	275	1911
126	276	1899
127	277	1887
128	277	1874
129	278	1861
130	278	1848
131	279	1835
132	279	1824
133	280	1813
134	281	1802
135	282	1792
136	282	1781
137	283	1769
138	284	1759
139	284	1748
140	285	1737
141	285	1725
142	286	1714
143	286	1704
144	287	1693
145	287	1682
146	288	1672
147	288	1661
148	289	1652
149	290	1645
150	291	1638
151	291	1628
152	292	1619
153	293	1609
154	293	1600
155	294	1591
156	294	1582
157	295	1573
158	296	1566
159	297	1559
160	297	1550
161	298	1542
162	298	1534
163	299	1526
164	299	1517
165	300	1509
166	300	1501
167	301	1493
168	302	1485
169	302	1477
170	303	1469
171	303	1462
172	304	1456
173	305	1451
174	306	1444
175	307	1437
176	307	1430
177	308	1422
178	308	1415
179	309	1408
180	310	1403
181	310	1397
182	311	1391
183	312	1385
184	312	1378
185	313	1371
186	314	1365
187	314	1358
188	315	1352
189	316	1347
190	316	1341
191	317	1335
192	317	1328
193	318	1322
194	318	1316
195	319	1312
196	320	1307
197	321	1303
198	322	1298
199	323	1293
200	324	1288
201	324	1282
202	325	1276
203	325	1270
204	326	1264
205	326	1259
206	327	1253
207	327	1247
208	328	1242
209	328	1237
210	329	1232
211	330	1226
212	330	1221
213	331	1216
214	331	1211
215	332	1205
216	332	1200
217	333	1195
218	333	1190
219	335	1188
220	336	1185
221	337	1181
222	337	1176
223	338	1172
224	339	1168
225	339	1164
226	340	1160
227	341	1156
228	342	1151
229	342	1147
230	343	1142
231	343	1138
232	344	1133
233	344	1128
234	345	1124
235	345	1119
236	346	1114
237	347	1111
238	347	1107
239	348	1103
240	349	1100
241	350	1097
242	351	1093
243	351	1089
244	352	1086
245	353	1082
246	353	1078
247	354	1075
248	355	1071
249	355	1067
250	356	1063
251	356	1058
252	357	1054
253	357	1050
254	358	1046
255	358	1042
256	359	1038
257	360	1035
258	360	1031
259	361	1029
260	362	1026
261	363	1022
262	364	1020
263	365	1018
264	366	1015
265	366	1012
266	367	1008
267	367	1004
268	368	1001
269	369	998
270	370	995
271	370	992
272	371	989
273	372	986
274	372	983
275	373	980
276	374	978
277	375	975
278	376	972
279	377	969
280	377	966
281	378	963
282	379	961
283	380	959
284	381	956
285	381	953
286	382	949
287	382	946
288	383	943
289	383	939
290	384	936
291	384	933
292	385	930
293	386	927
294	387	925
295	387	921
296	388	918
297	388	915
298	389	912
299	390	910
300	390	907
301	391	904
302	391	901
303	392	898
304	394	897
305	394	895
306	395	893
307	396	890
308	396	887
309	397	884
310	398	881
311	398	878
312	399	876
313	399	873
314	400	870
315	401	868
316	401	865
317	402	862
318	402	859
319	403	856
320	403	853
321	404	851
322	405	849
323	405	846
324	406	844
325	406	841
326	407	838
327	408	836
328	409	834
329	409	832
330	410	830
331	411	827
332	412	825
333	412	822
334	413	820
335	413	817
336	414	814
337	414	812
338	415	809
339	415	806
340	416	804
341	416	801
342	417	799
343	418	797
344	418	795
345	419	792
346	419	789
347	420	787
348	420	784
349	421	782
350	422	780
351	422	778
352	423	776
353	424	774
354	425	772
355	425	770
356	426	768
357	427	766
358	427	763
359	428	761
360	428	758
361	429	756
362	429	754
363	430	752
364	431	750
365	431	747
366	432	745
367	432	743
368	433	741
369	433	738
370	434	736
371	434	734
372	435	731
373	436	730
374	437	729
375	438	728
376	439	726
377	440	724
378	441	722
379	442	721
380	442	719
381	443	717
382	444	716
383	445	714
384	445	712
385	446	710
386	447	708
387	447	706
388	448	704
389	449	703
390	450	701
391	451	699
392	451	697
393	452	696
394	453	695
395	454	693
396	455	691
397	456	690
398	457	688
399	457	686
400	458	684
401	458	682
402	459	680
403	459	678
404	460	675
405	460	673
406	461	671
407	461	669
408	462	668
409	462	666
410	463	664
411	464	662
412	465	661
413	465	659
414	466	657
415	466	655
416	467	653
417	468	651
418	469	650
419	470	649
420	470	647
421	471	645
422	471	643
423	472	641
424	472	639
425	473	637
426	473	635
427	474	633
428	474	632
429	475	630
430	476	629
431	477	627
432	477	625
433	478	623
434	478	621
435	479	619
436	479	617
437	480	616
438	480	614
439	481	612
440	481	610
441	483	610
442	484	609
443	485	607
444	486	606
445	486	604
446	487	602
447	487	601
448	488	599
449	489	597
450	489	596
451	490	595
452	491	593
453	491	591
454	492	589
455	493	588
456	493	586
457	494	585
458	495	583
459	495	581
460	496	580
461	496	578
462	497	577
463	498	575
464	499	574
465	499	572
466	500	570
467	500	569
468	501	567
469	502	566
470	502	564
471	503	562
472	503	561
473	504	559
474	504	557
475	505	556
476	505	554
477	506	552
478	506	551
479	507	549
480	508	548
481	508	546
482	509	544
483	509	543
484	510	541
485	510	540
486	511	538
487	511	536
488	512	535
489	513	534
490	514	532
491	514	531
492	515	529
493	515	528
494	516	526
495	516	525
496	517	523
497	517	521
498	518	520
499	518	518
500	519	517
501	519	515
502	520	514
503	521	513
504	521	511
505	522	509
506	522	508
507	523	506
508	523	505
509	524	503
510	524	502
511	525	500
512	526	499
513	526	498
514	527	497
515	528	496
516	529	494
517	530	493
518	530	491
519	531	490
520	531	488
521	532	487
522	532	485
523	533	484
524	534	483
525	534	481
526	535	480
527	535	478
528	536	477
529	536	475
530	537	474
531	537	472
532	538	471
533	538	470
534	539	468
535	540	467
536	540	466
537	541	464
538	541	463
539	542	462
540	543	461
541	544	459
542	544	458
543	545	457
544	545	455
545	546	454
546	547	453
547	547	451
548	548	450
549	548	448
550	549	447
551	549	446
552	550	444
553	550	443
554	551	441
555	552	440
556	552	439
557	553	438
558	554	437
559	554	435
560	555	434
561	555	433
562	556	431
563	556	430
564	557	429
565	558	428
566	559	427
567	560	426
568	560	424
569	561	423
570	561	422
571	562	420
572	562	419
573	563	418
574	563	416
575	564	415
576	565	414
577	565	413
578	566	411
579	566	410
580	567	409
581	568	407
582	568	406
583	569	405
584	569	404
585	570	402
586	570	401
587	571	400
588	571	398
589	572	397
590	573	397
591	574	395
592	574	394
593	575	393
594	575	392
595	576	390
596	577	389
597	577	388
598	578	387
599	578	385
600	579	384
601	579	383
602	580	382
603	580	380
604	581	379
605	581	378
606	582	377
607	582	375
608	583	374
609	583	373
610	584	372
611	584	370
612	585	369
613	585	368
614	586	367
615	587	366
616	588	365
617	588	364
618	589	362
619	590	361
620	590	360
621	591	359
622	591	358
623	592	356
624	592	355
625	593	354
626	593	353
627	594	352
628	594	350
629	595	349
630	595	348
631	596	347
632	596	346
633	597	344
634	597	343
635	598	342
636	598	341
637	599	340
638	599	338
639	600	337
640	601	336
641	601	335
642	602	334
643	603	333
644	603	332
645	604	331
646	604	329
647	605	328
648	605	327
649	606	326
650	606	325
651	607	324
652	607	322
653	608	321
654	608	320
655	609	319
656	609	318
657	610	317
658	610	316
659	611	314
660	611	313
661	612	312
662	612	311
663	613	310
664	613	309
665	614	308
666	614	306
667	615	305
668	615	304
669	616	303
670	617	302
671	617	301
672	618	300
673	619	299
674	619	298
675	620	297
676	620	296
677	621	295
678	621	294
679	622	292
680	623	291
681	623	290
682	624	289
683	624	288
684	625	287
685	625	286
686	626	285
687	626	284
688	627	283
689	627	282
690	628	280
691	628	279
692	629	278
693	629	277
694	630	276
695	630	275
696	631	274
697	631	273
698	632	272
699	633	271
700	633	270
701	634	269
702	635	268
703	635	267
704	636	266
705	636	265
706	637	264
707	637	262
708	638	261
709	638	260
710	639	259
711	639	258
712	640	257
713	640	256
714	641	255
715	641	254
716	642	253
717	642	252
718	643	251
719	643	250
720	644	249
721	644	248
722	645	247
723	645	246
724	646	245
725	646	244
726	648	243
727	648	242
728	649	241
729	650	240
730	651	239
731	651	238
732	652	237
733	653	236
734	654	235
735	654	234
736	655	233
737	656	232
738	656	231
739	657	230
740	658	230
741	658	229
742	659	228
743	660	227
744	661	226
745	661	225
746	662	224
747	663	223
748	664	222
749	664	221
750	665	220
751	666	219
752	666	218
753	667	217
754	668	216
755	669	215
756	669	214
757	670	214
758	670	213
759	671	212
760	672	211
761	672	210
762	673	209
763	674	208
764	674	207
765	675	206
766	676	205
767	677	204
768	678	203
769	678	202
770	679	201
771	680	200
772	681	200
773	681	199
774	682	198
775	683	197
776	684	196
777	684	195
778	685	194
779	686	193
780	686	192
781	687	191
782	688	190
783	689	189
784	689	188
785	690	187
786	691	187
787	691	186
788	692	185
789	693	184
790	694	183
791	695	182
792	695	181
793	696	180
794	697	179
795	698	178
796	698	177
797	699	177
798	700	176
799	700	175
800	701	174
801	701	173
802	702	172
803	703	171
804	703	170
805	704	169
806	704	168
807	705	167
808	706	166
809	707	165
810	708	165
811	708	164
812	709	163
813	710	162
814	710	161
815	711	160
816	712	159
817	712	158
818	713	157
819	714	156
820	714	155
821	715	154
822	715	153
823	716	153
824	717	152
825	717	151
826	718	150
827	718	149
828	719	148
829	720	147
830	721	146
831	722	145
832	723	144
833	723	144
834	724	143
835	725	142
836	725	141
837	726	140
838	727	139
839	727	138
840	728	137
841	728	136
842	729	135
843	730	134
844	730	134
845	731	133
846	731	132
847	732	131
848	733	130
849	733	129
850	734	128
851	735	127
852	735	126
853	736	125
854	737	125
855	738	124
856	739	123
857	739	122
858	740	121
859	740	120
860	741	119
861	742	118
862	742	117
863	743	117
864	743	116
865	744	115
866	745	114
867	745	113
868	746	112
869	747	111
870	747	110
871	748	109
872	748	108
873	749	108
874	750	107
875	750	106
876	751	105
877	752	104
878	753	103
879	754	102
880	755	102
881	755	101
882	756	100
883	757	99
884	757	98
885	758	97
886	758	96
887	759	95
888	760	94
889	760	94
890	761	93
891	762	92
892	762	91
893	763	90
894	764	89
895	764	88
896	765	87
897	766	87
898	767	86
899	768	85
900	768	84
901	769	83
902	770	82
903	771	81
904	771	81
905	772	80
906	773	79
907	774	78
908	774	77
909	775	76
910	776	75
911	776	74
912	777	74
913	777	73
914	778	72
915	779	71
916	779	70
917	780	69
918	781	68
919	782	68
920	783	67
921	784	66
922	784	65
923	785	64
924	785	63
925	786	62
926	787	61
927	787	61
928	788	60
929	788	59
930	789	58
931	790	57
932	790	56
933	791	55
934	792	55
935	792	54
936	793	53
937	794	52
938	794	51
939	795	50
940	796	49
941	796	49
942	797	48
943	798	47
944	799	46
945	799	45
946	800	44
947	801	43
948	801	43
949	802	42
950	803	41
951	804	40
952	804	39
953	805	38
954	806	37
955	806	37
956	807	36
957	808	35
958	808	34
959	809	33
960	810	32
961	810	32
962	812	31
963	812	30
964	813	29
965	814	28
966	815	27
967	816	26
968	816	26
969	817	25
970	818	24
971	819	23
972	819	22
973	820	21
974	821	21
975	821	20
976	822	19
977	823	18
978	823	17
979	824	16
980	825	15
981	825	15
982	826	14
983	827	13
984	829	12
985	830	11
986	830	10
987	831	10
988	832	9
989	833	8
990	833	7
991	834	6
992	835	5
993	835	5
994	836	4
995	837	3
996	837	2
997	838	1
998	838	0
999	839	0
